variable,source,role,adjust,channels,active_in_preview,rationale,note
sim_exposed_email,simulated,Treatment,never,email,True,"Exposure flag for channel 'email' drawn from the logistic targeting rule. It is the TREATMENT of the causal question — model predicts the effect OF this flag, never adjusts for it.",Estimate its effect on conversion/revenue (ATE/ATT/CATE).
sim_exposed_social,simulated,Treatment,never,social,True,"Exposure flag for channel 'social' drawn from the logistic targeting rule. It is the TREATMENT of the causal question — model predicts the effect OF this flag, never adjusts for it.",Estimate its effect on conversion/revenue (ATE/ATT/CATE).
sim_exposed_search,simulated,Treatment,never,search,True,"Exposure flag for channel 'search' drawn from the logistic targeting rule. It is the TREATMENT of the causal question — model predicts the effect OF this flag, never adjusts for it.",Estimate its effect on conversion/revenue (ATE/ATT/CATE).
sim_exposed_display,simulated,Treatment,never,display,True,"Exposure flag for channel 'display' drawn from the logistic targeting rule. It is the TREATMENT of the causal question — model predicts the effect OF this flag, never adjusts for it.",Estimate its effect on conversion/revenue (ATE/ATT/CATE).
sim_converted_14d,simulated,Outcome,never,all,True,"Primary outcome: 0/1 purchase within the 14-day outcome window. It is an effect, not a cause — never a covariate.",Primary estimand target.
sim_revenue_14d,simulated,Outcome,never,all,True,"Secondary outcome: follow-on revenue (0 if not converted). Post-treatment, strongly tied to conversion — modeled as an outcome, never adjusted.",Secondary estimand target (revenue-online).
recency_days,observed,Confounder,yes,"email, display",True,"Days since the customer's last purchase. Drives targeting (reactivation of lapsed buyers) AND purchase propensity, so it is a common cause of assignment and outcome -> confounder.","Active in preview channels: email, display."
order_count,observed,Confounder,yes,"email, search, social",True,"Purchase frequency. Higher-frequency customers are more likely targeted (email, search, social weight it) and more likely to convert -> confounder.","Active in email, search, social targeting; NOT in display."
total_revenue,observed,Confounder,yes,all,True,Monetary value. High-value customers are preferentially exposed and have higher baseline intent/revenue -> confounder.,Active in every channel's targeting rule.
tenure_days,observed,Confounder,yes,"search, social",True,"Customer age. Search targets new/active customers, social targets incumbent high-frequency ones; tenure also correlates with intent -> confounder for those channels.","Targeted on in preview channels: social, search."
review_score_avg,observed,Confounder,yes,email,True,Satisfaction/engagement proxy. Email's targeting rule weights it and it enters baseline intent -> common cause for the email analysis. For other channels it is an outcome-only predictor (harmless to include).,Active in email targeting only.
avg_order_value,derived,Irrelevant,no,all,True,"Total revenue / order count — a deterministic transformation of two already-included confounders. It has no independent assignment edge in the preview DGP, so it adds no confounding control; including it only risks collinearity.",Optional precision covariate at most; excluded to avoid collinearity.
review_count,observed,Irrelevant,no,all,False,Not used by the preview targeting rule nor the outcome equation; carries no confounding signal in the current DGP.,May gain a role in the full simulation (engagement proxy).
category_affinity_top,observed,Confounder,yes,all,False,Product-category affinity is an INTENDED confounder per the simulation design (category drives both targeting and demand). It is NOT yet wired into the Day-3 preview DGP; the full Week-2 simulation activates it.,INACTIVE in preview -> balance check on it is a placebo until Week 2.
state,observed,Confounder,yes,all,False,Geography is an INTENDED confounder (regional demand + regional targeting). Not active in the preview DGP; activated in the full simulation.,INACTIVE in preview -> balance check on it is a placebo until Week 2.
sim_u,simulated,Confounder,never,all,True,"Latent purchase intent, the DELIBERATELY unobserved confounder. It drives both assignment and outcome (confounding by design), so even perfect adjustment on observed features leaves residual bias. It is never a covariate: sensitivity analysis (Day 18) and ground-truth benchmarking use it.",Unobservable in the real world — this is the point of the sensitivity layer.
sim_p_<channel>,simulated,Irrelevant,no,all,True,"Targeting probability = the assignment MECHANISM output (function of observed features AND sim_u). Knowing it is a design aid; as a covariate it is neither a confounder nor a mediator — it IS the assignment rule. Use it for overlap diagnostics and (its estimate) for IPW/Matching (Days 6-7, 10), never as a regression regressor.",Propensity score source for Days 6/7/10.
sim_ground_truth_<channel>,simulated,Irrelevant,never,all,True,The embedded TRUE effect (log-odds). It is the answer key for ground-truth recovery (Days 8-12) — must never leak into any estimator.,Evaluation-only column.
click / session (conceptual),structural,Mediator,no,all,False,"In real digital marketing, exposure -> click/session -> conversion is a mediator chain. Conditioning on the mediator blocks the very path we want to estimate. Absent from the Olist/preview data, but the DAG keeps the node to forbid accidental adjustment.",NEVER adjust (blueprint §5).
co-exposure / channels-seen count (conceptual),structural,Collider,no,all,False,A customer's total observed channels is a collider when exposures share common causes (conditioning on it induces selection bias). Joint multi-channel models must therefore be handled with care; per-channel analyses sidestep it.,NEVER adjust (blueprint §5).
first_order_date / last_order_date,observed,Irrelevant,no,all,False,Raw timestamps are not modeled directly; they are transformed into tenure_days / recency_days (the confounders) and cohort membership. The derived forms carry the causal signal.,Feature-engineering inputs.
customer_id,observed,Irrelevant,no,all,True,Identifier/primary key. No causal role; unit of analysis only.,Row key.
campaign timing / seasonality (conceptual),structural,Confounder,yes,all,False,"Seasonal demand co-moves with campaign scheduling in the real world (an intended confounder). The preview is a single campaign snapshot, so timing is constant; the full campaign-date grid (Week 2) must include it.",Constant in preview; introduce with the campaign grid.
