channel,outcome,outcome_label,segment,segment_label,description,n,share,conv_rate,mean_tau,mean_baseline,label
email,sim_converted_14d,14-day conversion,persuadable,Persuadable,"High τ̂, low baseline: would NOT convert organically but responds to the channel -> the incremental targeting sweet spot",23771,0.2503,0.2021,0.12731,0.205,estimated (simulated)
email,sim_converted_14d,14-day conversion,sure_thing,Sure Thing,"High τ̂, high baseline: responds AND would convert anyway -> treat to keep, low marginal gain",23720,0.2497,0.2437,0.13713,0.2367,estimated (simulated)
email,sim_converted_14d,14-day conversion,sleeping_dog,Sleeping Dog,"Low τ̂, high baseline: converts anyway and shows poor/negative response -> avoid (wastes budget, can backfire)",22948,0.2416,0.2245,0.11918,0.2218,estimated (simulated)
email,sim_converted_14d,14-day conversion,lost_cause,Lost Cause,"Low τ̂, low baseline: unlikely to convert and shows little response -> skip",24544,0.2584,0.1969,0.11945,0.2032,estimated (simulated)
social,sim_converted_14d,14-day conversion,persuadable,Persuadable,"High τ̂, low baseline: would NOT convert organically but responds to the channel -> the incremental targeting sweet spot",27748,0.2921,0.191,0.10901,0.202,estimated (simulated)
social,sim_converted_14d,14-day conversion,sure_thing,Sure Thing,"High τ̂, high baseline: responds AND would convert anyway -> treat to keep, low marginal gain",19743,0.2079,0.2417,0.11362,0.2385,estimated (simulated)
social,sim_converted_14d,14-day conversion,sleeping_dog,Sleeping Dog,"Low τ̂, high baseline: converts anyway and shows poor/negative response -> avoid (wastes budget, can backfire)",25209,0.2654,0.2291,0.10081,0.2244,estimated (simulated)
social,sim_converted_14d,14-day conversion,lost_cause,Lost Cause,"Low τ̂, low baseline: unlikely to convert and shows little response -> skip",22283,0.2346,0.2119,0.10341,0.2061,estimated (simulated)
search,sim_converted_14d,14-day conversion,persuadable,Persuadable,"High τ̂, low baseline: would NOT convert organically but responds to the channel -> the incremental targeting sweet spot",12991,0.1368,0.2048,0.13133,0.205,estimated (simulated)
search,sim_converted_14d,14-day conversion,sure_thing,Sure Thing,"High τ̂, high baseline: responds AND would convert anyway -> treat to keep, low marginal gain",34500,0.3632,0.2374,0.13865,0.2309,estimated (simulated)
search,sim_converted_14d,14-day conversion,sleeping_dog,Sleeping Dog,"Low τ̂, high baseline: converts anyway and shows poor/negative response -> avoid (wastes budget, can backfire)",10452,0.11,0.2255,0.11398,0.2296,estimated (simulated)
search,sim_converted_14d,14-day conversion,lost_cause,Lost Cause,"Low τ̂, low baseline: unlikely to convert and shows little response -> skip",37040,0.39,0.1987,0.11643,0.2034,estimated (simulated)
display,sim_converted_14d,14-day conversion,persuadable,Persuadable,"High τ̂, low baseline: would NOT convert organically but responds to the channel -> the incremental targeting sweet spot",15693,0.1652,0.194,0.11732,0.2053,estimated (simulated)
display,sim_converted_14d,14-day conversion,sure_thing,Sure Thing,"High τ̂, high baseline: responds AND would convert anyway -> treat to keep, low marginal gain",31798,0.3348,0.23,0.12061,0.2299,estimated (simulated)
display,sim_converted_14d,14-day conversion,sleeping_dog,Sleeping Dog,"Low τ̂, high baseline: converts anyway and shows poor/negative response -> avoid (wastes budget, can backfire)",14017,0.1476,0.2407,0.10619,0.2275,estimated (simulated)
display,sim_converted_14d,14-day conversion,lost_cause,Lost Cause,"Low τ̂, low baseline: unlikely to convert and shows little response -> skip",33475,0.3524,0.2042,0.10344,0.2044,estimated (simulated)
